ano,municipio,valor_r,area_ha
2020,Alto Jequitibá - MG,1001.0,337.0
2020,Alto Longá - PI,4837.0,2804.0
2020,Alto Paraguai - MT,46681.0,11185.0
2020,Alto Paraná - PR,41188.0,6420.0
2020,Alto Paraíso - PR,26180.0,3500.0
2020,Alto Paraíso - RO,93146.0,20388.0
2020,Alto Paraíso de Goiás - GO,120120.0,20492.0
2020,Alto Parnaíba - MA,383710.0,72663.0
2020,Alto Piquiri - PR,227119.0,59226.0
2020,Alto Rio Doce - MG,8734.0,2192.0
2020,Alto Rio Novo - ES,237.0,50.0
2020,Alto Santo - CE,5300.0,1471.0
2020,Alto Taquari - MT,574782.0,128469.0
2020,Alto do Rodrigues - RN,583.0,460.0
2020,Altos - PI,4030.0,1579.0
2020,Altônia - PR,67684.0,12046.0
2020,Alumínio - SP,1427.0,271.0
2020,Alvarenga - MG,448.0,126.0
2020,Alvarães - AM,54478.0,5253.0
2020,Alvinlândia - SP,4808.0,391.0
2020,Alvinópolis - MG,2828.0,686.0
2020,Alvorada - RS,72.0,31.0
2020,Alvorada - TO,121535.0,31136.0
2020,Alvorada D'Oeste - RO,11658.0,1018.0
2020,Alvorada de Minas - MG,1581.0,429.0
2020,Alvorada do Gurguéia - PI,18377.0,4020.0
2020,Alvorada do Norte - GO,16036.0,3030.0
2020,Alvorada do Sul - PR,226582.0,46551.0
2020,Além Paraíba - MG,664.0,70.0
2020,Amajari - RR,13369.0,1220.0
2020,Amambai - MS,470239.0,138495.0
2020,Amaporã - PR,75633.0,14429.0
2020,Amapá - AP,4388.0,735.0
2020,Amapá do Maranhão - MA,524.0,368.0
2020,Amaraji - PE,41369.0,6852.0
2020,Amaral Ferrador - RS,31637.0,6577.0
2020,Amaralina - GO,23495.0,4980.0
2020,Amarante - PI,7517.0,3690.0
2020,Amarante do Maranhão - MA,2727.0,2306.0
2020,Amargosa - BA,3769.0,828.0
2020,Amaturá - AM,5638.0,290.0
2020,Americana - SP,12154.0,2110.0
2020,Americano do Brasil - GO,6195.0,1312.0
2020,Ametista do Sul - RS,7570.0,1848.0
2020,Amontada - CE,9690.0,11603.0
2020,Amorinópolis - GO,24987.0,6132.0
2020,Amparo - PB,556.0,703.0
2020,Amparo - SP,15042.0,2901.0
2020,Amparo do Serra - MG,2778.0,598.0
