ano,municipio,produto,2020,2021,2022
0,Aguiarnópolis - TO,Valor da produção,1128.0,1121.0,1121.0
0,Aguiarnópolis - TO,Área colhida,151.0,151.0,151.0
0,Aimorés - MG,Valor da produção,9570.0,11337.0,13642.0
0,Aimorés - MG,Área colhida,892.0,925.0,1016.0
0,Aiquara - BA,Valor da produção,799.0,1296.0,1459.0
0,Aiquara - BA,Área colhida,142.0,183.0,175.0
0,Aiuaba - CE,Valor da produção,12092.0,9949.0,7044.0
0,Aiuaba - CE,Área colhida,10180.0,8778.0,7834.0
0,Aiuruoca - MG,Valor da produção,13246.0,13961.0,12346.0
0,Aiuruoca - MG,Área colhida,1824.0,1824.0,1714.0
0,Ajuricaba - RS,Valor da produção,88562.0,269687.0,114703.0
0,Ajuricaba - RS,Área colhida,32413.0,33503.0,34096.0
0,Alagoa - MG,Valor da produção,451.0,457.0,203.0
0,Alagoa - MG,Área colhida,54.0,45.0,35.0
0,Alagoa Grande - PB,Valor da produção,18259.0,14913.0,24261.0
0,Alagoa Grande - PB,Área colhida,5902.0,4835.0,5235.0
0,Alagoa Nova - PB,Valor da produção,9177.0,6403.0,12374.0
0,Alagoa Nova - PB,Área colhida,2425.0,1160.0,2030.0
0,Alagoinha - PB,Valor da produção,4427.0,5905.0,6033.0
0,Alagoinha - PB,Área colhida,1007.0,1099.0,1319.0
0,Alagoinha - PE,Valor da produção,202.0,648.0,994.0
0,Alagoinha - PE,Área colhida,215.0,235.0,260.0
0,Alagoinha do Piauí - PI,Valor da produção,7080.0,3252.0,8822.0
0,Alagoinha do Piauí - PI,Área colhida,6525.0,6530.0,6540.0
0,Alagoinhas - BA,Valor da produção,3945.0,3795.0,3874.0
0,Alagoinhas - BA,Área colhida,925.0,846.0,822.0
0,Alambari - SP,Valor da produção,34223.0,45044.0,53018.0
0,Alambari - SP,Área colhida,4910.0,5290.0,5040.0
0,Albertina - MG,Valor da produção,105.0,186.0,162.0
0,Albertina - MG,Área colhida,30.0,30.0,30.0
0,Alcantil - PB,Valor da produção,338.0,59.0,478.0
0,Alcantil - PB,Área colhida,582.0,90.0,650.0
0,Alcinópolis - MS,Valor da produção,88013.0,117806.0,175543.0
0,Alcinópolis - MS,Área colhida,18402.0,15722.0,16152.0
0,Alcobaça - BA,Valor da produção,13745.0,11969.0,13564.0
0,Alcobaça - BA,Área colhida,2111.0,1917.0,1865.0
0,Alcântara - MA,Valor da produção,2572.0,2547.0,2137.0
0,Alcântara - MA,Área colhida,963.0,943.0,926.0
0,Alcântaras - CE,Valor da produção,2107.0,2513.0,1853.0
0,Alcântaras - CE,Área colhida,1915.0,1928.0,1904.0
0,Aldeias Altas - MA,Valor da produção,32872.0,48939.0,117203.0
0,Aldeias Altas - MA,Área colhida,9221.0,9730.0,9834.0
0,Alecrim - RS,Valor da produção,26025.0,35447.0,20064.0
0,Alecrim - RS,Área colhida,4595.0,4348.0,4547.0
0,Alegre - ES,Valor da produção,2527.0,3417.0,3776.0
0,Alegre - ES,Área colhida,790.0,790.0,790.0
0,Alegrete - RS,Valor da produção,611576.0,1359855.0,850973.0
0,Alegrete - RS,Área colhida,120163.0,123301.0,159168.0
0,Alegrete do Piauí - PI,Valor da produção,10580.0,3724.0,7826.0
0,Alegrete do Piauí - PI,Área colhida,5590.0,5275.0,3075.0
