NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável,Produto das lavouras temporárias (Código),Produto das lavouras temporárias
6,Município,1017,Toneladas,..,1100015,Alta Floresta D'Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,74356,1100015,Alta Floresta D'Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,15721,1100015,Alta Floresta D'Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100023,Ariquemes - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,76668,1100023,Ariquemes - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,9764,1100023,Ariquemes - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100031,Cabixi - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,373664,1100031,Cabixi - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,51282,1100031,Cabixi - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100049,Cacoal - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,34965,1100049,Cacoal - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,6521,1100049,Cacoal - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100056,Cerejeiras - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,512772,1100056,Cerejeiras - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,65309,1100056,Cerejeiras - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100064,Colorado do Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,47659,1100064,Colorado do Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5514,1100064,Colorado do Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100072,Corumbiara - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,658898,1100072,Corumbiara - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,89000,1100072,Corumbiara - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100080,Costa Marques - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,7490,1100080,Costa Marques - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,576,1100080,Costa Marques - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100098,Espigão D'Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,28555,1100098,Espigão D'Oeste - RO,2021,2021,215,Valor da produção,0,Total
