NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
6,Município,1006,Hectares,5356,1100098,Espigão D'Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100106,Guajará-Mirim - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,17518,1100106,Guajará-Mirim - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,725,1100106,Guajará-Mirim - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100114,Jaru - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,26594,1100114,Jaru - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1001,1100114,Jaru - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100122,Ji-Paraná - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3746,1100122,Ji-Paraná - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,229,1100122,Ji-Paraná - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100130,Machadinho D'Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,143139,1100130,Machadinho D'Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,15818,1100130,Machadinho D'Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100148,Nova Brasilândia D'Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,19339,1100148,Nova Brasilândia D'Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,2369,1100148,Nova Brasilândia D'Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100155,Ouro Preto do Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3857,1100155,Ouro Preto do Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,153,1100155,Ouro Preto do Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100189,Pimenta Bueno - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,35622,1100189,Pimenta Bueno - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,4710,1100189,Pimenta Bueno - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100205,Porto Velho - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,254561,1100205,Porto Velho - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,37396,1100205,Porto Velho - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100254,Presidente Médici - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3252,1100254,Presidente Médici - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,458,1100254,Presidente Médici - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100262,Rio Crespo - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,290088,1100262,Rio Crespo - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,38291,1100262,Rio Crespo - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100288,Rolim de Moura - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,53226,1100288,Rolim de Moura - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,10348,1100288,Rolim de Moura - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100296,Santa Luzia D'Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,49493,1100296,Santa Luzia D'Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,7296,1100296,Santa Luzia D'Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100304,Vilhena - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,600903,1100304,Vilhena - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,76386,1100304,Vilhena - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100320,São Miguel do Guaporé - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,150116,1100320,São Miguel do Guaporé - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,31631,1100320,São Miguel do Guaporé - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100338,Nova Mamoré - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,38050,1100338,Nova Mamoré - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,8165,1100338,Nova Mamoré - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100346,Alvorada D'Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,15214,1100346,Alvorada D'Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1271,1100346,Alvorada D'Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100379,Alto Alegre dos Parecis - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,187903,1100379,Alto Alegre dos Parecis - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,30630,1100379,Alto Alegre dos Parecis - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100403,Alto Paraíso - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,236848,1100403,Alto Paraíso - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,30837,1100403,Alto Paraíso - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100452,Buritis - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,18298,1100452,Buritis - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1714,1100452,Buritis - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100502,Novo Horizonte do Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,20102,1100502,Novo Horizonte do Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,3849,1100502,Novo Horizonte do Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100601,Cacaulândia - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,2670,1100601,Cacaulândia - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,141,1100601,Cacaulândia - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100700,Campo Novo de Rondônia - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,22830,1100700,Campo Novo de Rondônia - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1315,1100700,Campo Novo de Rondônia - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100809,Candeias do Jamari - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,70591,1100809,Candeias do Jamari - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5842,1100809,Candeias do Jamari - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100908,Castanheiras - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,34027,1100908,Castanheiras - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,7086,1100908,Castanheiras - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100924,Chupinguaia - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,462135,1100924,Chupinguaia - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,57234,1100924,Chupinguaia - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100940,Cujubim - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,171487,1100940,Cujubim - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,26882,1100940,Cujubim - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101005,Governador Jorge Teixeira - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,13604,1101005,Governador Jorge Teixeira - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,635,1101005,Governador Jorge Teixeira - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101104,Itapuã do Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,24987,1101104,Itapuã do Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,6484,1101104,Itapuã do Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101203,Ministro Andreazza - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1843,1101203,Ministro Andreazza - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,520,1101203,Ministro Andreazza - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101302,Mirante da Serra - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,15733,1101302,Mirante da Serra - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,2089,1101302,Mirante da Serra - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101401,Monte Negro - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,11941,1101401,Monte Negro - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,598,1101401,Monte Negro - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101435,Nova União - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,2943,1101435,Nova União - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,408,1101435,Nova União - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101450,Parecis - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,16303,1101450,Parecis - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,2584,1101450,Parecis - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101468,Pimenteiras do Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,629210,1101468,Pimenteiras do Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,82630,1101468,Pimenteiras do Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101476,Primavera de Rondônia - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4306,1101476,Primavera de Rondônia - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,321,1101476,Primavera de Rondônia - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101484,São Felipe D'Oeste - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,18125,1101484,São Felipe D'Oeste - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5296,1101484,São Felipe D'Oeste - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101492,São Francisco do Guaporé - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,22628,1101492,São Francisco do Guaporé - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,4679,1101492,São Francisco do Guaporé - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101500,Seringueiras - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,27500,1101500,Seringueiras - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,4669,1101500,Seringueiras - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101559,Teixeirópolis - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3610,1101559,Teixeirópolis - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,158,1101559,Teixeirópolis - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101609,Theobroma - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,24635,1101609,Theobroma - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,2701,1101609,Theobroma - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101708,Urupá - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3039,1101708,Urupá - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,343,1101708,Urupá - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101757,Vale do Anari - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,33409,1101757,Vale do Anari - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5199,1101757,Vale do Anari - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101807,Vale do Paraíso - RO,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1100,1101807,Vale do Paraíso - RO,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,90,1101807,Vale do Paraíso - RO,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200013,Acrelândia - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,8726,1200013,Acrelândia - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1720,1200013,Acrelândia - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200054,Assis Brasil - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,5865,1200054,Assis Brasil - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1350,1200054,Assis Brasil - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200104,Brasiléia - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,13757,1200104,Brasiléia - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,2999,1200104,Brasiléia - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200138,Bujari - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,12930,1200138,Bujari - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,2419,1200138,Bujari - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200179,Capixaba - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,40514,1200179,Capixaba - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5461,1200179,Capixaba - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200203,Cruzeiro do Sul - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,27981,1200203,Cruzeiro do Sul - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,3959,1200203,Cruzeiro do Sul - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200252,Epitaciolândia - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,16960,1200252,Epitaciolândia - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,2731,1200252,Epitaciolândia - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200302,Feijó - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,26277,1200302,Feijó - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5450,1200302,Feijó - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200328,Jordão - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,5991,1200328,Jordão - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1040,1200328,Jordão - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200336,Mâncio Lima - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,20375,1200336,Mâncio Lima - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,3075,1200336,Mâncio Lima - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200344,Manoel Urbano - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,5327,1200344,Manoel Urbano - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1191,1200344,Manoel Urbano - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200351,Marechal Thaumaturgo - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,19161,1200351,Marechal Thaumaturgo - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,3328,1200351,Marechal Thaumaturgo - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200385,Plácido de Castro - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,49245,1200385,Plácido de Castro - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,6844,1200385,Plácido de Castro - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200393,Porto Walter - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,7692,1200393,Porto Walter - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1302,1200393,Porto Walter - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200401,Rio Branco - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,45299,1200401,Rio Branco - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,6714,1200401,Rio Branco - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200427,Rodrigues Alves - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,18748,1200427,Rodrigues Alves - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,3014,1200427,Rodrigues Alves - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200435,Santa Rosa do Purus - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4012,1200435,Santa Rosa do Purus - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,704,1200435,Santa Rosa do Purus - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200450,Senador Guiomard - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,31747,1200450,Senador Guiomard - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,4386,1200450,Senador Guiomard - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200500,Sena Madureira - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,21716,1200500,Sena Madureira - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,4454,1200500,Sena Madureira - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200609,Tarauacá - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,30572,1200609,Tarauacá - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5570,1200609,Tarauacá - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200708,Xapuri - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,17171,1200708,Xapuri - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,3518,1200708,Xapuri - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200807,Porto Acre - AC,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,21170,1200807,Porto Acre - AC,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,3251,1200807,Porto Acre - AC,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300029,Alvarães - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,55300,1300029,Alvarães - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5206,1300029,Alvarães - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300060,Amaturá - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,6233,1300060,Amaturá - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,234,1300060,Amaturá - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300086,Anamã - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1490,1300086,Anamã - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,198,1300086,Anamã - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300102,Anori - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4042,1300102,Anori - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,504,1300102,Anori - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300144,Apuí - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,12207,1300144,Apuí - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1330,1300144,Apuí - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300201,Atalaia do Norte - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,6110,1300201,Atalaia do Norte - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,262,1300201,Atalaia do Norte - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300300,Autazes - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,56308,1300300,Autazes - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,5114,1300300,Autazes - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300409,Barcelos - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,295,1300409,Barcelos - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,22,1300409,Barcelos - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300508,Barreirinha - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1732,1300508,Barreirinha - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,139,1300508,Barreirinha - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300607,Benjamin Constant - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,5072,1300607,Benjamin Constant - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,280,1300607,Benjamin Constant - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300631,Beruri - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1487,1300631,Beruri - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,311,1300631,Beruri - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300680,Boa Vista do Ramos - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,5466,1300680,Boa Vista do Ramos - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,476,1300680,Boa Vista do Ramos - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300706,Boca do Acre - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,6660,1300706,Boca do Acre - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1044,1300706,Boca do Acre - AM,2021,2021,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300805,Borba - AM,2021,2021,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,14525,1300805,Borba - AM,2021,2021,215,Valor da produção,0,Total
6,Município,1006,Hectares,1321,1300805,Borba - AM,2021,2021,216,Área colhida,0,Total
