NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável,Produto das lavouras temporárias (Código),Produto das lavouras temporárias
6,Município,1017,Toneladas,..,1100015,Alta Floresta D'Oeste - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,40723,1100015,Alta Floresta D'Oeste - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,11422,1100015,Alta Floresta D'Oeste - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100023,Ariquemes - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,43522,1100023,Ariquemes - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,10126,1100023,Ariquemes - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100031,Cabixi - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,184069,1100031,Cabixi - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,46295,1100031,Cabixi - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100049,Cacoal - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,25594,1100049,Cacoal - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,4602,1100049,Cacoal - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100056,Cerejeiras - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,297915,1100056,Cerejeiras - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,69148,1100056,Cerejeiras - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100064,Colorado do Oeste - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,21467,1100064,Colorado do Oeste - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,4989,1100064,Colorado do Oeste - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100072,Corumbiara - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,286058,1100072,Corumbiara - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,69750,1100072,Corumbiara - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100080,Costa Marques - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4092,1100080,Costa Marques - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,367,1100080,Costa Marques - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100098,Espigão D'Oeste - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,15676,1100098,Espigão D'Oeste - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,3773,1100098,Espigão D'Oeste - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100106,Guajará-Mirim - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,13557,1100106,Guajará-Mirim - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,693,1100106,Guajará-Mirim - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100114,Jaru - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,25099,1100114,Jaru - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,1178,1100114,Jaru - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100122,Ji-Paraná - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,5969,1100122,Ji-Paraná - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,268,1100122,Ji-Paraná - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100130,Machadinho D'Oeste - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,75000,1100130,Machadinho D'Oeste - RO,2020,2020,215,Valor da produção,0,Total
6,Município,1006,Hectares,15864,1100130,Machadinho D'Oeste - RO,2020,2020,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100148,Nova Brasilândia D'Oeste - RO,2020,2020,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,10377,1100148,Nova Brasilândia D'Oeste - RO,2020,2020,215,Valor da produção,0,Total
